"order_number"	"l1"	"l2"	"l3"	"sku"	"brand"
"339808"	"Plumbing"	"Tube Fittings"	"Press Fittings"	"292307"	"4572"
"281770"	"Cleaning"	"Brooms, Brushes, and Dust Pans"	"Corn, Whisk, and Angle Brooms"	"228676"	"2467"
"432536"	"Plumbing"	"Pipe and Tubing"	"Copper Pipe and Tubing"	"196161"	"2856"
"353804"	"Pneumatics"	"Pneumatic Hoses"	"Air Hoses"	"60444"	"3966"
"859201"	"Fasteners"	"Nuts"	"Hex Nuts"	"302583"	"1793"
"185956"	"Cleaning"	"Trash Bags and Liners"	"Trash Bags"	"251393"	"4355"
"771266"	"Power Tools"	"Heat Guns"	"Heat Guns"	"321927"	"2768"
"258067"	"Fleet and Vehicle Maintenance"	"Automotive Maintenance Tools"	"Measuring Cups"	"320732"	"3218"
"338933"	"Fleet and Vehicle Maintenance"	"Automotive Diagnostics and Inspection"	"Driver Log Books"	"169064"	"2223"
"308523"	"Fasteners"	"Anchors"	"Anchor Screws"	"239769"	"4192"
"111984"	"Hand Tools"	"Cutting Tools"	"Safety Utility Knives"	"157057"	"2627"
"301688"	"Adhesives, Sealants and Tape"	"Thread and Gasket Sealants"	"Gasket Sealants"	"125241"	"4327"
"601691"	"Adhesives, Sealants and Tape"	"Caulks"	"Spray Foam Sealants"	"310673"	"4705"
"649979"	"Welding"	"Welding Helmets and Welding Protection"	"Welding Helmet Accessories"	"2350"	"1523"
"830270"	"Plumbing"	"Replacement Parts"	"Parts"	"118561"	"3874"
"566085"	"Hand Tools"	"Pliers"	"Tongue and Groove Pliers"	"105297"	"2365"
"255901"	"Lighting"	"Lamps"	"HID Lamps and Bulbs"	"296547"	"1694"
"565917"	"Electrical"	"Switches"	"Sensor Cordsets"	"158446"	"2089"
"168266"	"Hand Tools"	"Measuring and Layout Tools"	"Tape Measures"	"273623"	"4015"
"225932"	"Paint, Equipment and Supplies"	"Brushes, Rollers, and Trays"	"Paint Brushes"	"147192"	"3062"
"602993"	"Power Tools"	"Drilling Accessories"	"Hammer Drill Bits"	"252430"	"1113"
"449035"	"Electronics, Appliances, and Batteries"	"Batteries"	"Standard Batteries"	"12577"	"1231"
"809681"	"Abrasives"	"Cut-Off and Grinding Wheels"	"Abrasive Cut-Off and Chop Wheels"	"278193"	"2966"
"512084"	"Lighting"	"Lamps"	"Linear Fluorescent Lamps"	"272386"	"1694"
"701116"	"Power Transmission"	"Sheaves and Pulleys"	"V-Belt Pulleys"	"289033"	"4209"
"504086"	"Material Handling"	"Storage Bins and Containers"	"Hang and Stack Bins"	"124887"	"150"
"627540"	"Electronics, Appliances, and Batteries"	"Batteries"	"Standard Batteries"	"282469"	"1231"
"837660"	"Plumbing"	"Sinks and Wash Fountains"	"Bathroom Sinks"	"54519"	"223"
"472663"	"Pumps"	"Sump, Effluent and Sewage Pumps"	"Submersible Sump Pumps"	"204950"	"1068"
"290454"	"Motors"	"Definite Purpose AC Motors"	"Vacuum Motors"	"115163"	"234"
"399958"	"Cleaning"	"Trash Bags and Liners"	"Trash Bags"	"18307"	"4355"
"523611"	"Safety"	"Identification Products"	"Label Maker Tapes"	"197151"	"585"
"190274"	"Electrical"	"Raceways"	"Raceway Fittings and Accessories"	"204556"	"2438"
"165875"	"Fasteners"	"Thread Insert"	"Thread Insert Kits"	"292877"	"1793"
